espèce source,interaction,espèce cible,source,poids,commentaire
ail,défavorise,cardon,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
ail,favorise,carotte,"Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Jardin Bio', Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Companion gardening', Favorise d'après 'Le potager de Marie', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Association FredoBio', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",16.0,
ail,favorise,cerfeuil,Favorise d'après 'IDEP Foundation',1.0,
ail,favorise,cerise,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
ail,défavorise,chou de bruxelles,"Favorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",1.0,
ail,défavorise,choux,"Favorise d'après 'Companion planting', Favorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Défavorise d'après 'IDEP Foundation', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Défavorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Défavorise d'après 'Sustainable Gardening Australia', Défavorise d'après 'Jean Monet. Le jardin des Monet', Défavorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.'",7.0,
ail,favorise,citron,Favorise d'après 'Ekopedia : cultures associées',1.0,
ail,favorise,concombre,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Jardinage Biologique', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Le potager de Marie', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",8.0,
ail,favorise,cornichon,"Favorise d'après 'Le potager de Marie', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",2.0,
ail,défavorise,cresson,"Défavorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Défavorise d'après 'Defi Ecologique'",2.0,
ail,favorise,céleris,"Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Le potager de Marie', Favorise d'après 'Ekopedia : cultures associées'",3.0,
ail,favorise,endive,Favorise d'après 'Ekopedia : cultures associées',1.0,
ail,favorise,epinard,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Le potager de Marie', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",3.0,
ail,favorise,fenouil,"Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Defi Ecologique'",1.0,
ail,favorise,fraise,"Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Le potager de Marie', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Jardinage Biologique', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Favorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Jardin Bio', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Sustainable Gardening Australia'",15.0,
ail,favorise,framboise,"Favorise d'après 'Plantes amies, ennemies', Favorise d'après 'Le potager de Marie', Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'The Encyclopedia of Organic Gardening. J.I. Rodale (editor)'",5.0,
ail,défavorise,fève fèverole,"Favorise d'après 'Le potager de Marie', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Rustica', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Défavorise d'après 'Jardipartage', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Défavorise d'après 'Xavier Gerbeaud. Légumes bons voisins'",6.0,
ail,défavorise,haricots,"Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Défavorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Défavorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Défavorise d'après 'Jardipartage', Défavorise d'après 'Rustica', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'IDEP Foundation', Défavorise d'après 'Companion gardening', Défavorise d'après 'Jardinage Biologique', Défavorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Défavorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Jean Monet. Le jardin des Monet', Défavorise d'après 'Le Monde', Défavorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",17.0,
ail,favorise,laitue,"Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Jardinage Biologique', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Le potager de Marie', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Jardin Bio', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",12.0,
ail,favorise,lavande,Favorise d'après 'IDEP Foundation',1.0,
ail,favorise,mûre,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
ail,défavorise,noyer,Défavorise d'après 'Defi Ecologique',1.0,
ail,favorise,oignon,"Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",5.0,
ail,défavorise,origan,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
ail,favorise,panais,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",2.0,
ail,défavorise,persil,"Défavorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
ail,favorise,pissenlit,"Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",2.0,
ail,favorise,poire,Favorise d'après 'Sustainable Gardening Australia',1.0,
ail,défavorise,pois,"Défavorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Défavorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat', Défavorise d'après 'Ekopedia : cultures associées', Défavorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007', Défavorise d'après 'Jardinage Biologique', Défavorise d'après 'Sustainable Gardening Australia', Défavorise d'après 'Defi Ecologique', Défavorise d'après 'Le Monde', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Jardipartage', Défavorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Défavorise d'après 'Rustica'",13.0,
ail,favorise,poivron,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",1.0,
ail,favorise,pomme,Favorise d'après 'IDEP Foundation',1.0,
ail,favorise,pomme de terre,"Favorise d'après 'Bonnes et mauvaises associations dans le potager', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Ecological Agriculture Projects, McGill University', Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Favorise d'après 'Le potager de Marie', Favorise d'après 'Jardin Bio', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Défavorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",8.0,
ail,favorise,pêche,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'Ooreka'",2.0,
ail,favorise,radis,"Favorise d'après 'Jardin Bio', Favorise d'après 'Le potager de Marie', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Jean Monet. Le jardin des Monet', Favorise d'après 'Marc Kauffman. Association des Jardins Ouvriers de Sélestat'",6.0,
ail,favorise,rhubarbe,"Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
ail,favorise,romarin,"Favorise d'après 'IDEP Foundation', Favorise d'après 'Sustainable Gardening Australia'",2.0,
ail,favorise,rutabaga,"Favorise d'après 'Le potager de Marie', Favorise d'après 'Ekopedia : cultures associées'",2.0,
ail,défavorise,réglisse,"Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
ail,favorise,sarriette,"Favorise d'après 'Le potager de Marie', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager'",2.0,
