Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Aromatique,Herbs and plants,Miscellaneous,Miscellaneous,,"Medicinal, Aromatic Plants, Flowers & Others",Miscellaneous
,Holy basil,Lamiaceae,Holy Basil (Ocimum sanctum L.),,,
Raifort,Horseradish,Brassicaceae,Armoracia rusticana,,"Medicinal, Aromatic Plants, Flowers & Others",
Hosta,Hostas,Asparagaceae,Hosta L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Hysope,Hysop,Lamiaceae,Hyssopus officinalis,,"Medicinal, Aromatic Plants, Flowers & Others",
,Indian jujube,Rhamnaceae,Ziziphus mauritiana Lam.,,,
,Jack bean,Fabaceae,Canavalia ensiformis L. DC.,,,
,Jackfruit,Moraceae,Artocarpus heterophyllus Lam.,,,
Topinambour,Jerusalem artichoke,Asteraceae,Helianthus tuberosus L.,,Vegetables,
Jujube,Jujube,Rhamnaceae,Ziziphus zizyphus L. Karst.,,Fruits,
Chou kale,Kale,Brassicaceae,Brassica oleracea L. var. acephala DC.,Vegetable,Vegetables,Leaf vegetables
Kiwi,Kiwi,Actinidiaceae,Actinidia deliciosa,Fruit,Fruits,Berries
Chou-rave,Kohlrabi,Brassicaceae,Brassica oleracea L. var. gongylodes,Vegetable,Vegetables,Leaf vegetables
Lablab,Lablab bean,Fabaceae,Lablab purpureus L.,,Vegetables,
Mâche,Lamb lettuce,Caprifoliaceae,Valerianella locusta,Vegetable,Vegetables,Leaf vegetables
Laurier sauce,Laurel,Lauraceae,Laurus nobilis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Lavande,Lavender,Lamiaceae,Lavandula L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Poireau,Leek,Alliaceae,Allium porrum L.,Vegetable,Vegetables,Leaf vegetables
Citron,Lemon,Rutaceae,Citrus medica L.,,Fruits,
Citronnier,Lemon,Rutaceae,Citrus limon L.,,Fruits,
